line_no,col_offset,type,name,file_name
164,24,BinOp,"(<_ast.Str object at 0x8051b7c50>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x8051bda50>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
165,4,Return,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
165,11,call,sympy.Symbol,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
168,0,FunctionDef,get_symbol_IDs_from_AST_str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
175,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
179,4,Assign,"([<_ast.Name object at 0x8051bdcd0>], <_ast.Call object at 0x8051bdc90>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
179,22,call,re.findall,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
180,4,Assign,"([<_ast.Name object at 0x8051bd8d0>], <_ast.Call object at 0x8051bd350>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
180,22,call,list,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
180,27,call,set,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
181,4,Assign,"([<_ast.Name object at 0x8051bd510>], <_ast.ListComp object at 0x8051bd5d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
181,23,call,x.replace,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
183,4,Return,<class '_ast.Name'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
186,0,FunctionDef,get_symbol_IDs_from_AST_str_OLDNOTINUSE,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
193,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
196,4,Assign,"([<_ast.Name object at 0x8051bd810>], <_ast.List object at 0x8051bd4d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
197,7,NameConstant,True,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
198,11,call,len,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
198,26,Num,0,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
198,36,call,ast_str.startswith,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
200,12,Assign,"([<_ast.Name object at 0x8051f77d0>], <_ast.Call object at 0x8051f7910>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
200,19,call,get_sympy_expr_from_AST_str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
202,12,Assign,"([<_ast.Name object at 0x8051f7a50>], <_ast.ListComp object at 0x8051f7790>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
203,16,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
204,25,call,list,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
205,19,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
210,16,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
210,16,call,list_of_symbols.append,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
214,12,Assign,"([<_ast.Name object at 0x8051f7250>], <_ast.ListComp object at 0x8051f70d0>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
215,16,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
216,25,call,ast_str.split,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
217,19,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
220,4,Return,<class '_ast.Name'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
223,0,FunctionDef,remove_latex_presention_markings,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
231,-1,Expr,<class '_ast.Str'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
232,4,Assign,"([<_ast.Name object at 0x805249f10>], <_ast.Call object at 0x805249790>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
232,15,call,str,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
232,19,call,random.randint,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
232,34,Num,1000000,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
232,43,Num,9999999,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
233,16,BinOp,"(<_ast.Str object at 0x805249c10>, <_ast.Add object at 0x80101f750>, <_ast.Name object at 0x805249e50>)",/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
233,4,call,logger.info,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
233,4,Expr,<class '_ast.Call'>,/home/user/proofofconcept/v7_pickle_web_interface/flask/latex_to_sympy.py
